item-id	version1	version2	category	type	levenshtein	char-delta	char-delta-abs	capitalization	whitespace	punctuation	hyphenation	numbers	abbreviation	cond-major	cond-minor	exp-major	exp-minor	insertion	deletion	combination	cat=copyedit	cat=tbc	type-tbc
00001-1	Chapter	CHAPTER	copyedit	capitalization-only	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00006-1	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00006-2	a	the	tbc	expansion-minor	3	-2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00006-3	two months	month	tbc	condensation-minor	5	5	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00006-4	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00013-1	say	say,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00015-1	Cause	'Cause	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00018-1	program.	Program.	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00019-1	blah. The	blah, the	copyedit	combination	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00024-1	Well. That	Well, that	copyedit	combination	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00025-1	Well,	Okay,	tbc	tbc	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00032-1	age?	age.	copyedit	punctuation-only	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00034-1	Well, guys,	Guys,	tbc	condensation-major	7	6	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00039-1	earth	Earth	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00041-1	only		tbc	deletion-minor	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00041-2		only	tbc	insertion-minor	4	-4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00045-1	bums	burns	tbc	expansion-minor	2	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00047-1	Argon	argon	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00048-1	Argon	argon	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00051-1	We did have fun, but		tbc	deletion-major	20	20	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00054-1	Descent Vehicle)	descent vehicle)	copyedit	capitalization-only	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00057-1	Having	having	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00057-2		of	tbc	insertion-minor	2	-2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00058-1	14	fourteen	copyedit	numbers-involved	8	-6	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00061-1	tended	tend	tbc	condensation-minor	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00062-1		that	tbc	insertion-minor	4	-4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00063-1	3	three	copyedit	numbers-involved	5	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00066-1	"""Mars Ascent Vehicle."""	Mars ascent vehicle.	copyedit	combination	4	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00069-1	were	had been	tbc	expansion-major	7	-4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00069-2	pass	have passed	tbc	expansion-major	7	-7	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00069-3	go back to Earth	gone home	tbc	condensation-major	12	7	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00071-1	13	thirteen	copyedit	numbers-involved	8	-6	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00073-1	24	twenty-four	copyedit	numbers-involved	11	-9	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00076-1	dying. Then	dying, and	tbc	condensation-minor	5	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00077-1	km/hr.	kph.	tbc	condensation-minor	3	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00078-1	km/hr	kph	tbc	condensation-minor	3	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00079-1		flight space	tbc	insertion-major	12	-12	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00083-1	extent	extent,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00085-1	month-long	monthlong	copyedit	hyphenation-only	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
